LAMMPS data file

    140 atoms

   3 atom types

     0.082486362    12.206886362 xlo xhi
    -0.233482443    20.766517557 ylo yhi
    -4.997598270    20.002401730 zlo zhi
    0 0 0 xy xz yz

Masses

   1  12.011150 # c
   2  15.999400 # oh
   3   1.007970 # ho

Atoms # full

      1             1              0.610000800     0.699993000     7.504254916
      2             1              1.819999804     1.400007000     7.504254916
      3             1              1.819999804     2.799993000     7.504254916
      4             1              0.610000800     3.500007000     7.504254916
      5             1              3.029998808     0.699993000     7.504254916
      6             1              4.239997811     1.400007000     7.504254916
      7             1              4.239997811     2.799993000     7.504254916
      8             1              3.029998808     3.500007000     7.504254916
      9             1              5.459999412     0.699993000     7.504254916
     10             1              6.669998416     1.400007000     7.504254916
     11             1              6.669998416     2.799993000     7.504254916
     12             1              5.459999412     3.500007000     7.504254916
     13             1              7.879997419     0.699993000     7.504254916
     14             1              9.089996423     1.400007000     7.504254916
     15             1              9.089996423     2.799993000     7.504254916
     16             1              7.879997419     3.500007000     7.504254916
     17             1             10.309998023     0.699993000     7.504254916
     18             1             11.519997027     1.400007000     7.504254916
     19             1             11.519997027     2.799993000     7.504254916
     20             1             10.309998023     3.500007000     7.504254916
     21             1              0.610000800     4.899993000     7.504254916
     22             1              1.819999804     5.600007000     7.504254916
     23             1              1.819999804     6.999993000     7.504254916
     24             1              0.610000800     7.700007000     7.504254916
     25             1              3.029998808     4.899993000     7.504254916
     26             1              4.239997811     5.600007000     7.504254916
     27             1              4.239997811     6.999993000     7.504254916
     28             1              3.029998808     7.700007000     7.504254916
     29             1              5.459999412     4.899993000     7.504254916
     30             1              6.669998416     5.600007000     7.504254916
     31             1              6.669998416     6.999993000     7.504254916
     32             1              5.459999412     7.700007000     7.504254916
     33             1              7.879997419     4.899993000     7.504254916
     34             1              9.089996423     5.600007000     7.504254916
     35             1              9.089996423     6.999993000     7.504254916
     36             1              7.879997419     7.700007000     7.504254916
     37             1             10.309998023     4.899993000     7.504254916
     38             1             11.519997027     5.600007000     7.504254916
     39             1             11.519997027     6.999993000     7.504254916
     40             1             10.309998023     7.700007000     7.504254916
     41             1              0.610000800     9.099993000     7.504254916
     42             1              1.819999804     9.800007000     7.504254916
     43             1              1.819999804    11.199993000     7.504254916
     44             1              0.610000800    11.900007000     7.504254916
     45             1              3.029998808     9.099993000     7.504254916
     46             1              4.239997811     9.800007000     7.504254916
